428,36376.53.T.69104625,,1.44.C.4500,,,
427,36361.66.C.228881683,,1.44.C.4500,,,
426,36263.29.C.38271699,,1.44.C.4500,,,
425,36259.6.T.21228568,,1.44.C.4500,,,
424,36175.53.C.68864659,,1.44.C.4500,,,
423,35963.62.C.47162388,,1.44.C.4500,,,
422,35775.70.C.38120670,1.44.C.4500,,,
421,35680.60.C.38908838,,1.44.C.4500,,,
420,35584.11.A.140494228,,1.44.C.4500,,,
419,35472.46.C.15278214,,1.44.C.4500,,,
418,35445.6.G.21260123,,1.44.C.4500,,,
417,35276.26.C.187539055,,1.44.C.4500,,,
416,35247.20.A.55220287,,1.44.C.4500,,,
415,35192.44.A.139413076,,1.44.C.4500,,,
414,35090.6.C.21229464,,1.44.C.4500,,,
413,35070.41.C.100678385,,1.44.C.4500,,,
412,34848.59.A.51174335,,1.44.C.4500,,,
411,34683.22.C.37881993,,1.44.C.4500,,,
410,34650.26.T.187539236,,1.44.C.4500,,,
409,34606.23.T.56490908,,1.44.C.4500,,,
408,34073.51.C.8770879,,1.44.C.4500,,,
407,33614.14.C.68835775,,1.44.C.4500,,,
406,33528.10.C.70071011,,1.44.C.4500,,,
405,33518.41.A.100675115,,1.44.C.4500,,,
404,33368.26.T.187630458,,1.44.C.4500,,,
403,33361.45.C.120462197,,1.44.C.4500,,,
402,33266.8.G.46245473,,1.44.C.4500,,,
401,33220.61.C.166909378,,1.44.C.4500,,,
400,33201.56.A.41076865,,1.44.C.4500,,,
399,33101.17.C.3823866,,1.44.C.4500,,,
398,32926.33.C.9862845,,1.44.C.4500,,,
397,32768.26.C.187521465,,1.44.C.4500,,,
396,32703.16.C.207643185,,1.44.C.4500,,,
395,32690.31.A.1803657,,1.44.C.4500,,,
394,32643.58.C.47028819,,1.44.C.4500,,,
393,32624.49.C.47629097,,1.44.C.4500,,,
392,32353.4.A.105246430,,1.44.C.4500,,,
391,32265.10.C.69758088,,1.44.C.4500,,,
390,32251.18.T.225376169,,1.44.C.4500,,,
389,32205.6.G.21256292,,1.44.C.4500,,,
388,32173.53.T.68931793,,1.44.C.4500,,,
387,31969.61.C.166896027,,1.44.C.4500,,,
386,31834.1.C.175898984,,1.44.C.4500,,,
385,31771.51.A.8717707,,1.44.C.4500,,,
384,31752.45.G.120458510,,1.44.C.4500,,,
383,31655.66.C.228882234,,1.44.C.4500,,,
382,31568.27.C.126238850,,1.44.C.4500,,,
381,31421.27.C.126370766,,1.44.C.4500,,,
380,31366.10.C.69945003,,1.44.C.4500,,,
379,31250.16.C.207639899,,1.44.C.4500,,,
378,31188.10.A.69640549,,1.44.C.4500,,,
377,31178.26.G.187560911,,1.44.C.4500,,,
376,31125.26.C.187627919,,1.44.C.4500,,,
375,31064.2.T.77328832,,1.44.C.4500,,,
374,31062.31.C.1806667,,1.44.C.4500,,,
373,31054.27.C.126373626,,1.44.C.4500,,,
372,31018.69.C.189612052,,1.44.C.4500,,,
371,30600.59.C.51176048,,1.44.C.4500,,,
370,30580.26.C.187629151,,1.44.C.4500,,,
